,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,eval/train_f1,eval/valid_f1,eval/test_f1,eval/expert_f1,eval/train_auprc,eval/valid_auprc,eval/test_auprc,eval/expert_auprc,eval/train_r_precision,eval/valid_r_precision,eval/test_r_precision,eval/expert_r_precision,_timestamp
61,bert_inference,valid_f1,0.39428131947402734,0.4191335021130148,0.3931582711939349,0.3929279352074831,0.3011058488045495,0.32090390810399133,0.2870801063335348,0.266789417111233,0.3825312531060344,0.399379099739125,0.325076519615353,0.4104273234023676,0.7237560892872881,0.7681450853814116,0.7946959505480516,0.5707348221427048,20250408 19:27:56
62,cnc_train_strict,valid_f1,0.04650272112372104,0.4773626157563518,0.5581224818902444,0.36644902094546106,0.39717563347284474,0.4136107379074172,0.32989848501412117,0.30223015802595987,0.946859854145275,0.5965545475752636,0.5601336560145326,0.6049429567134872,0.405744643211242,0.5476992832776099,0.48062394601858927,0.44116981579164055,20250408 19:47:37
65,cnc_train_naive,valid_f1,0.13269725718969608,0.46789449971358815,0.5127065000535689,0.4487616524089056,0.7639604797691371,0.5454388789822977,0.4253112557242939,0.3371500755901926,0.9533348052259488,0.6909585261511405,0.5867330609769803,0.6050462501814464,0.78595773318805,0.7484059089360542,0.6238491392357716,0.49361843012761975,20250408 21:01:24
68,cnc_train_loose,valid_f1,0.10429265782913238,0.3558960435825216,0.4570481616021203,0.41586269830273864,0.9483601624200036,0.5363465692200576,0.44035199791434065,0.3744994214735829,0.9754896153980503,0.6055624816564518,0.5116236084187513,0.5715947524613336,0.9547730115412428,0.9007485994397758,0.875544695421593,0.6317696145124717,20250408 22:30:33
71,iterate_naive-loose,valid_f1,0.1573346568770241,0.4102257646607627,0.4979970908328141,0.4156383427542157,0.7690512376931385,0.5724567055801945,0.4340664371231529,0.37835690335946287,0.9595406241091268,0.7154754395977946,0.6044963527513227,0.663128984689434,0.7967499550449104,0.7594540644187587,0.6598682196927197,0.5426109477973151,20250408 23:03:56
74,cnc_train_complex,valid_f1,0.2727104486488679,0.5682053994405816,0.5775840190667685,0.36851176307722766,0.2622937088790555,0.31331499871174157,0.2533959455066104,0.2556918584351184,0.747248179521428,0.5557480741456201,0.5013237099381024,0.590099060596873,0.3715288897159792,0.4022264444031319,0.3546203172333541,0.34168691199139706,20250408 23:27:06
78,cnc_train_harsh,valid_f1,0.20747930562924427,0.5881132335771653,0.6410013604161887,0.42877497004248377,0.3053030568157032,0.2709211092515387,0.19179368052755408,0.17446136322138434,0.8225561014497209,0.569522209204917,0.5255615771595161,0.5970914057933995,0.3643496433367367,0.3027927958242552,0.23152088000845047,0.22175320491349348,20250409 00:15:08
82,iterate_loose-strict,valid_f1,0.16690104905802128,0.4080683080285717,0.44897457660774587,0.41731916301522687,0.9046216208966444,0.5590695224962187,0.4560337060094095,0.3910929938556454,0.9635462326983996,0.647430667795644,0.5610225559106271,0.6085184094742707,0.8944814277238279,0.8778390424691426,0.8360076671694319,0.6212596411537588,20250409 02:34:29
83,iterate_loose-strict,valid_f1,0.28215743085960127,0.4712381826295249,0.48246972264905646,0.36760111664797873,0.3064930899553824,0.4130932526941505,0.3312983424025904,0.28325827106952484,0.6387332011139472,0.4831308222479327,0.4047473038696692,0.4905342123735763,0.379447815285224,0.700251563400757,0.609179145572261,0.4727136235985927,20250409 02:44:38
84,curriculum_loose-strict,valid_f1,0.32412771221666303,0.30384888253191544,0.38599979878208845,0.4140198121695806,0.5136076880962274,0.4881921203225136,0.4016342546034879,0.3446864168619723,0.6535656336114894,0.4917426443007647,0.44178749597875194,0.5022575298082372,0.6766495776890024,0.9027450980392158,0.8800852272727272,0.6347312481020346,20250409 03:18:47
86,iterate_loose-strict,valid_f1,0.16625260339508263,0.39726691550169574,0.45645060509540913,0.4133685387022139,0.9156951598503484,0.5508738762730584,0.4741747183004829,0.404350240838437,0.9585180656806198,0.6425309558680633,0.5474404792041259,0.6132962754472933,0.9279787470484042,0.8993648509049009,0.869883484162896,0.6359414414414414,20250409 03:47:25
90,iterate_loose-strict,valid_f1,0.1517861438855587,0.4071932466483282,0.4573769019097421,0.44684367056129254,0.924730545859655,0.5486378344574175,0.4815132772341325,0.4012484811863253,0.9696923874114458,0.6483173485363926,0.579329106499072,0.6099645187064717,0.9273476565441494,0.8981622315592904,0.8823042357968828,0.6375378908320084,20250409 04:49:32
94,iterate_loose-naive,valid_f1,0.20888577305796385,0.46717083725659286,0.4420835764529325,0.37273426470761595,0.8710139883059532,0.5477652008772407,0.45262282375471086,0.3953818489668525,0.9321716547171603,0.6617595546527228,0.5727021481025775,0.6332420139016174,0.8748198373295382,0.8750037630942348,0.8263496373566346,0.6168892785153869,20250409 06:19:30
95,iterate_loose-naive,valid_f1,0.36110968686861494,0.3728529612727019,0.4216343949725667,0.3668522396661541,0.4729885378559388,0.4660950978350565,0.3793526018808513,0.3265944255577628,0.5985535790080747,0.5328558738790588,0.4675839903030118,0.5456804705276631,0.768359955608526,0.8220438080143389,0.7482779742232074,0.5608376974204429,20250409 06:49:06
96,curriculum_loose-naive,valid_f1,0.28417043957995963,0.3331410836508389,0.3834938841401032,0.4104789866993969,0.5790235539027447,0.4881506726805787,0.4047074355185833,0.34194047563765834,0.6278979822345412,0.5079918943209034,0.4578877687975995,0.5237646989918082,0.8414654611260057,0.8830190547111987,0.8500493331252345,0.6174887077360762,20250409 07:50:56
